GEOID,2024 Senior Population
471490407.02,985
471490407.03,979
471490407.04,595
471490408.06,1737
471490408.07,1120
471490408.08,1535
471490408.09,650
471490408.1,565
471490408.11,903
471490408.12,531
471490409.01,630
471490409.04,903
471490409.06,648
471490409.07,1301
471490409.08,758
471490409.09,508
471490409.1,777
471490409.11,1281
471490410.0,1446
471490411.02,669
471490411.03,755
471490411.04,1013
471490412.01,1167
471490412.02,886
471490413.01,1707
471490413.02,1530
471490414.01,912
471490414.04,338
471490414.05,154
471490414.06,522
471490414.07,447
471490415.0,3
471490416.01,336
471490416.02,553
471490417.0,808
471490418.0,351
471490419.0,482
471490420.0,947
471490421.01,469
471490421.02,431
471490422.0,919
471490423.01,545
471490423.02,428
471530601.02,775
471530601.03,979
471530601.04,930
471530602.0,1213
471599750.0,787
471599751.0,618
471599752.0,1133
471599753.0,474
471599754.0,911
471611102.01,958
471611102.02,299
471611106.0,621
471611107.0,1268
471619801.0,1
471619802.0,0
471650201.01,690
471650201.02,946
471650202.03,455
471650202.04,550
471650202.05,311
471650202.06,244
471650202.07,357
471650202.08,524
471650202.09,542
471650203.0,753
471650204.03,457
471650204.04,496
471650204.05,588
471650204.06,641
471650204.07,766
471650205.01,2521
471650205.02,1186
471650205.03,860
471650206.01,895
471650206.02,910
471650206.03,829
471650207.0,1206
471650208.0,858
471650209.01,276
471650209.03,1399
471650209.04,553
471650209.05,654
471650210.02,1493
471650210.04,509
471650210.05,1277
471650210.06,718
471650210.07,558
471650210.08,1046
471650210.09,939
471650211.03,1055
471650211.04,310
471650211.05,749
471650211.06,1004
471650211.07,1058
471650212.01,1596
471650212.03,2008
471650212.04,1610
471650212.05,940
471690901.0,1360
471690902.0,536
471759250.0,804
471759252.0,836
471779301.0,869
471779302.01,698
471779302.02,685
471779303.0,538
471779304.0,1072
471779305.0,978
471779306.0,866
471779307.0,937
471779308.0,1348
471779309.0,445
471819501.0,709
471819502.0,1242
471819503.0,717
471819504.0,715
471839680.0,253
471839681.01,638
471839681.02,371
471839682.01,1029
471839682.02,132
471839682.03,359
471839683.0,524
471839684.0,1243
471839685.0,892
471839686.0,752
471839687.0,303
471859350.0,1118
471859351.0,1402
471859352.0,974
471859353.0,1267
471859354.0,770
471859355.0,794
471870501.02,875
471870501.03,1423
471870501.04,647
471870501.05,866
471870502.04,751
471870502.05,720
471870502.06,574
471870502.07,644
471870502.09,716
471870502.1,952
471870502.11,756
471870502.12,350
471870503.03,717
471870503.04,651
471870503.05,636
471870503.06,413
471870503.07,1000
471870504.03,474
471870504.04,1300
471870504.05,766
471870504.06,1137
471870505.02,1085
471870505.03,1090
471870505.04,661
471870506.01,1044
471870506.03,614
471870506.04,1988
471870507.01,582
471870507.02,776
471870508.01,873
471870508.02,437
471870509.04,834
471870509.05,966
471870509.06,1102
471870509.07,1363
471870509.08,1001
471870509.09,881
471870510.01,1234
471870510.02,1652
471870511.0,2036
471870512.03,895
471870512.04,944
471870512.05,961
471870512.06,921
471870512.07,542
471870512.08,819
471890301.02,1444
471890301.03,661
471890301.04,480
471890301.05,799
471890302.02,2849
471890302.03,971
471890302.05,445
471890302.06,973
