GEOID,2024 Population Density
471251017.01,51.6
471251017.02,86.4
471251018.03,974.8
471251018.05,435.5
471251018.06,195.2
471251018.07,183.7
471251018.08,960.3
471251019.02,1050.6
471251019.04,202.8
471251019.05,1042.7
471251019.06,1347.7
471251020.01,1395.6
471251020.03,3147.1
471251020.04,2587.5
471251020.05,1780.9
471251020.07,1317.2
471251020.08,2089.9
471251020.09,3660.7
471251020.1,645.7
471251021.0,2334.6
471259801.0,5.4
471279301.0,56.7
471279302.0,46.1
471291101.0,23.2
471291102.0,25.0
471319650.0,75.7
471339501.0,22.4
471339502.0,35.8
471339503.01,152.3
471339503.02,70.3
471339504.0,41.3
471339505.01,106.7
471339505.02,79.0
471339506.0,26.8
471359301.0,22.3
471359302.01,34.1
471359302.02,14.2
471379251.01,35.6
471379251.02,25.8
471410001.0,67.6
471410002.01,371.3
471410002.02,249.4
471410003.01,234.9
471410003.03,889.5
471410003.04,2544.8
471410003.05,1128.0
471410004.0,1828.8
471410005.0,1428.3
471410006.0,1021.6
471410007.0,1253.4
471410008.0,3543.8
471410009.0,403.8
471410010.0,49.3
471410011.0,145.3
471410012.01,390.7
471410012.02,174.8
471410013.0,56.2
471439750.0,68.5
471439751.0,62.8
471439752.0,74.7
471439753.0,132.0
471439754.01,529.6
471439754.02,350.5
471470801.01,60.3
471470801.03,754.1
471470801.04,164.8
471470802.0,46.2
471470803.01,619.4
471470803.02,2130.5
471470804.01,1585.7
471470804.02,1399.9
471470805.0,139.9
471470806.03,151.6
471470806.04,327.6
471470806.05,352.9
471470806.06,471.5
471470807.01,65.3
471470807.02,136.5
471490401.01,837.6
471490401.02,1270.1
471490401.04,3189.8
471490401.05,2270.2
471490401.06,6357.9
471490401.07,5351.0
471490402.0,853.9
471490403.03,2504.9
471490403.04,2792.2
471490403.05,3821.8
471490403.07,1503.7
471490403.08,3371.3
471490403.09,1002.9
471490403.1,1950.5
471490403.11,3155.3
471490403.12,2252.9
471490404.04,1414.7
471490404.05,1425.6
471490405.01,327.3
471490405.02,117.3
471490406.0,61.6
471490407.02,160.3
471490407.03,809.6
471490407.04,184.8
471490408.06,711.6
471490408.07,551.6
471490408.08,482.3
471490408.09,149.1
471490408.1,74.1
471490408.11,983.5
471490408.12,1738.3
471490409.01,712.9
471490409.04,2779.5
471490409.06,4170.8
471490409.07,3315.9
471490409.08,5878.7
471490409.09,4605.4
471490409.1,2557.5
471490409.11,2518.0
471490410.0,518.8
471490411.02,196.1
471490411.03,1809.2
471490411.04,1004.5
471490412.01,817.1
471490412.02,540.1
471490413.01,2451.1
471490413.02,2085.5
471490414.01,2313.5
471490414.04,6146.3
471490414.05,8869.3
471490414.06,6086.7
471490414.07,3286.1
471490415.0,3698.8
471490416.01,4260.9
471490416.02,3195.0
471490417.0,2928.6
471490418.0,744.6
471490419.0,5474.6
471490420.0,2357.9
471490421.01,2605.4
471490421.02,3811.1
471490422.0,727.5
471490423.01,1319.0
471490423.02,1349.9
471530601.02,23.7
471530601.03,289.4
471530601.04,205.3
471530602.0,47.9
471599750.0,40.3
471599751.0,416.4
471599752.0,83.1
471599753.0,41.3
471599754.0,68.3
471611102.01,63.1
471611102.02,31.8
471611106.0,29.6
471611107.0,47.8
471619801.0,0.0
471619802.0,0.0
471650201.01,138.8
471650201.02,98.8
471650202.03,130.2
471650202.04,225.9
471650202.05,480.3
471650202.06,143.2
471650202.07,187.0
471650202.08,229.3
471650202.09,108.1
471650203.0,985.4
471650204.03,107.7
471650204.04,153.2
471650204.05,545.3
471650204.06,414.9
471650204.07,865.1
471650205.01,1273.7
471650205.02,570.6
471650205.03,151.9
471650206.01,82.6
471650206.02,104.8
471650206.03,145.6
471650207.0,1850.6
471650208.0,1855.8
471650209.01,149.1
471650209.03,1052.7
471650209.04,2037.8
471650209.05,2522.3
471650210.02,759.1
471650210.04,443.6
471650210.05,340.7
471650210.06,298.5
471650210.07,1497.0
471650210.08,1294.6
471650210.09,1852.7
471650211.03,2519.3
471650211.04,2513.4
471650211.05,2254.7
471650211.06,2015.8
471650211.07,3488.5
471650212.01,1901.6
471650212.03,1116.5
471650212.04,2605.4
471650212.05,1112.3
471690901.0,88.1
471690902.0,328.7
471759250.0,18.6
471759252.0,34.7
471779301.0,61.4
471779302.01,66.9
471779302.02,76.6
471779303.0,66.9
471779304.0,516.5
471779305.0,905.6
471779306.0,241.0
471779307.0,400.7
471779308.0,73.2
471779309.0,20.4
471819501.0,18.6
471819502.0,37.0
471819503.0,23.9
471819504.0,14.3
471839680.0,13.4
471839681.01,577.7
471839681.02,51.5
471839682.01,90.8
471839682.02,2320.1
471839682.03,855.2
471839683.0,43.1
471839684.0,56.9
471839685.0,43.7
471839686.0,43.2
471839687.0,16.4
471859350.0,30.5
471859351.0,75.4
471859352.0,72.3
471859353.0,210.2
471859354.0,342.2
471859355.0,87.1
471870501.02,1192.3
471870501.03,166.5
471870501.04,1403.1
471870501.05,1035.7
471870502.04,1561.4
471870502.05,1221.8
471870502.06,1266.2
471870502.07,1155.1
471870502.09,1306.4
471870502.1,1287.5
471870502.11,2232.5
471870502.12,830.0
471870503.03,1279.9
471870503.04,963.1
471870503.05,605.2
471870503.06,640.3
471870503.07,1500.2
471870504.03,374.7
471870504.04,635.0
471870504.05,218.1
471870504.06,584.3
471870505.02,57.9
471870505.03,193.1
471870505.04,946.3
471870506.01,796.5
471870506.03,2728.8
471870506.04,528.9
471870507.01,2841.8
471870507.02,980.8
471870508.01,4500.7
471870508.02,2456.7
471870509.04,2558.0
471870509.05,3454.9
471870509.06,2178.9
471870509.07,2896.6
471870509.08,1559.0
471870509.09,497.7
471870510.01,1372.3
471870510.02,630.3
471870511.0,120.0
471870512.03,42.7
471870512.04,393.3
471870512.05,1276.3
471870512.06,4173.8
471870512.07,5028.5
471870512.08,4677.1
471890301.02,96.2
471890301.03,205.9
471890301.04,193.9
471890301.05,572.2
471890302.02,634.7
471890302.03,631.1
471890302.05,241.1
471890302.06,503.7
471890302.07,261.9
471890303.03,888.0
471890303.04,1001.2
471890303.05,2090.0
471890303.08,2618.2
471890303.09,1128.8
471890303.1,1284.2
471890303.11,523.0
471890304.01,1394.8
471890304.02,1421.5
471890305.0,1907.7
471890306.0,2409.7
471890307.0,867.1
471890308.0,103.1
471890309.04,55.5
471890309.05,262.9
471890309.06,483.1
471890309.07,411.2
471890309.08,3195.2
471890310.0,47.6
